Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
COTI,2024-04-01,2024-06-28,5.0,12500.0,249900.0
ODTC,2024-01-02,2024-03-28,7.5,17500.0,233233.33
PMVCD,2024-01-02,2024-03-28,10.02,438.8,4279.2
SNPW,2021-01-04,2021-03-31,8.0,232.0,2800.0
BACRP,2021-04-01,2021-06-30,5.52,149.15,2604.0
MI,2021-01-04,2021-03-31,66.0,1700.0,2475.76
GDXU,2022-10-03,2022-12-30,3.29,42.46,1190.58
GME,2021-01-04,2021-03-31,4.31,47.46,1000.41
SVMB,2022-10-03,2022-12-30,35.0,380.0,985.71
LCCN,2023-01-03,2023-03-31,5.9,62.5,959.32
SUIC,2021-01-04,2021-03-31,4.0,41.0,925.0
CHMX,2021-04-01,2021-06-30,4.9,49.0,900.0
BMXC,2021-01-04,2021-03-31,839.16,8111.89,866.67
INTV,2021-01-04,2021-03-31,5.0,47.5,850.0
WBBA,2021-01-04,2021-03-31,3.71,35.0,843.4
WBBAD,2021-01-04,2021-03-31,3.71,35.0,843.4
CELZ,2020-10-01,2020-12-31,15.0,139.0,826.67
BTCT,2022-04-01,2022-06-30,3.2,28.0,775.0
FRGT,2020-10-01,2020-12-31,2318.28,19933.92,759.86
GLMD,2023-04-03,2023-06-30,4.2,35.88,754.29
LDDD,2023-01-18,2023-03-31,10.0,85.0,750.0
LTCN,2020-10-01,2020-12-31,35.0,291.0,731.43
PTCAY,2023-10-02,2023-12-29,4.55,37.42,723.08
GLSI,2020-10-01,2020-12-31,4.57,36.47,697.16
CRTD,2022-10-03,2022-12-30,43.0,335.0,679.07
PSHG,2020-10-01,2020-12-31,8.83,68.55,676.6
HUDI,2021-10-01,2021-12-31,4.18,32.01,665.79
PROP,2021-01-04,2021-03-31,17.94,130.88,629.51
GLAE,2023-10-02,2023-12-29,11.0,80.0,627.27
INDV,2022-10-03,2022-12-30,3.0,21.75,625.0
VENG,2022-10-03,2022-12-30,11.88,85.0,615.79
IMTE,2022-01-03,2022-03-31,44.0,311.4,607.73
KOSS,2021-01-04,2021-03-31,3.19,22.49,605.02
SLNO,2023-07-03,2023-09-29,4.2,29.51,602.62
KXIN,2020-10-01,2020-12-31,8.28,55.95,575.72
SXTC,2022-04-01,2022-06-30,6.5,43.75,573.08
GLAE,2022-01-03,2022-03-31,3.67,23.79,548.23
SAVA,2021-01-04,2021-03-31,7.09,44.95,533.99
BETSF,2022-10-03,2022-12-30,1680.0,10630.0,532.74
LENZ,2024-01-02,2024-03-28,3.59,22.33,522.7
CRBP,2024-01-02,2024-03-28,6.33,39.24,519.91
AMC,2021-04-01,2021-06-30,93.6,566.8,505.56
LTMAY,2022-10-03,2022-12-30,161.65,969.51,499.75
BEEM,2020-10-01,2020-12-31,12.47,73.78,491.66
GEMZ,2021-01-04,2021-03-31,5.5,32.5,490.91
FILG,2024-01-02,2024-03-28,46.0,270.0,486.96
MRIN,2021-04-01,2021-06-30,10.98,64.38,486.34
ROOT,2024-01-02,2024-03-28,10.47,61.08,483.38
RGBP,2021-04-01,2021-06-30,3.9,22.65,480.77
RYTM,2022-07-01,2022-09-30,4.3,24.5,469.77
TIHE,2021-04-01,2021-06-30,534.85,3030.3,466.57
MTAM,2021-04-01,2021-06-30,3.48,19.49,459.91
GXLM,2023-04-03,2023-06-30,9.28,51.93,459.6
ELVN,2023-01-03,2023-03-31,3.94,21.9,455.84
MMMW,2021-01-04,2021-03-31,3.25,18.0,453.85
RGBPP,2021-04-01,2021-06-30,4.95,27.35,452.53
FKST,2021-01-04,2021-03-31,5.2,28.65,450.96
BTBT,2020-10-01,2020-12-31,4.02,21.91,445.02
RVYL,2020-10-01,2020-12-31,12.0,65.4,445.0
TIRX,2021-01-28,2021-03-31,402.5,2168.75,438.82
FFIE,2024-04-01,2024-06-28,3.8,20.28,433.68
HOVVB,2022-07-01,2022-09-30,12.5,65.0,420.0
MVNC,2021-07-01,2021-09-30,15.0,78.0,420.0
BCHG,2020-10-01,2020-12-31,4.75,24.68,419.58
DJT,2021-10-01,2021-12-31,9.94,51.43,417.4
TRFE,2021-04-01,2021-06-30,5.5,28.4,416.36
SICP,2020-10-01,2020-12-31,14.6,74.31,408.97
AMC,2021-01-04,2021-03-31,20.1,102.1,407.96
QS,2020-10-01,2020-12-31,16.65,84.45,407.21
WBHC,2024-01-02,2024-03-28,34.8,174.0,400.0
JMIA,2020-10-01,2020-12-31,8.08,40.35,399.38
QXO,2023-10-02,2023-12-29,22.99,114.03,395.94
LIFX,2021-07-01,2021-09-30,5.1,25.0,390.2
DISPF,2024-01-02,2024-03-28,73.78,360.88,389.14
BNGO,2020-10-01,2020-12-31,6.3,30.8,388.89
GMVDF,2020-10-01,2020-12-31,16.56,80.5,386.26
LGMK,2020-10-01,2020-12-31,66.0,320.0,384.85
APVO,2020-10-01,2020-12-31,335.28,1612.6,380.97
ERNA,2021-04-01,2021-06-30,75.0,360.2,380.27
NCTY,2021-01-04,2021-03-31,66.2,312.0,371.3
MNMD,2020-10-01,2020-12-31,9.73,45.75,369.95
BNKD,2024-04-01,2024-06-28,4.63,21.55,365.44
NTTDF,2024-01-02,2024-03-28,3.34,15.55,365.31
NBRWF,2022-01-03,2022-03-31,4.95,23.0,364.65
VENG,2020-10-01,2020-12-31,15.0,68.78,358.5
NNE,2024-05-08,2024-06-28,5.19,23.44,351.64
GNLX,2023-01-26,2023-03-31,6.15,27.74,351.06
VKTX,2024-01-02,2024-03-28,18.28,82.0,348.58
MDGL,2022-10-03,2022-12-30,64.77,290.25,348.12
KNTK,2020-10-01,2020-12-31,3.93,17.45,343.55
PETV,2020-10-01,2020-12-31,3.0,13.25,341.67
FRSX,2020-10-01,2020-12-31,5.56,24.48,340.13
FUST,2023-10-02,2023-12-29,5.0,22.0,340.0
SIRC,2020-10-01,2020-12-31,9.39,41.25,339.3
MARA,2021-01-04,2021-03-31,11.01,48.02,336.15
BBLGW,2024-01-02,2024-03-28,3.95,17.2,335.44
YYAI,2021-01-08,2021-03-31,680.0,2960.0,335.29
RCON,2021-01-04,2021-03-31,26.82,116.64,334.9
EXPRQ,2021-01-04,2021-03-31,18.6,80.4,332.26
MLGO,2024-04-01,2024-06-28,3.78,16.31,331.48
JSPR,2024-01-02,2024-03-28,6.81,29.36,331.13
DAVE,2024-01-02,2024-03-28,8.62,37.14,330.86
GNS,2023-01-03,2023-03-31,3.15,13.5,328.57
PECO,2021-07-01,2021-09-30,6.49,27.74,327.19
MGNI,2020-10-01,2020-12-31,7.23,30.71,324.76
MIGI,2021-01-04,2021-03-31,14.4,60.6,320.83
EBCOF,2024-04-01,2024-06-28,18.48,77.63,320.12
ABTS,2021-04-01,2021-06-30,5.39,22.29,313.54
NHOLF,2024-01-02,2024-03-28,15.22,62.92,313.51
CTRM,2021-01-04,2021-03-31,18.6,76.1,309.14
EOLS,2021-01-04,2021-03-31,3.2,12.99,305.94
PDSB,2022-10-03,2022-12-30,3.28,13.2,302.44
BLNK,2020-10-01,2020-12-31,10.67,42.75,300.66
RTGN,2022-07-01,2022-09-30,5.0,20.0,300.0
DATS,2021-08-13,2021-09-30,34.2,136.5,299.12
SEZL,2024-01-02,2024-03-28,21.4,84.49,294.81
ACRS,2021-01-04,2021-03-31,6.48,25.2,288.89
BPT,2022-01-03,2022-03-31,3.13,12.08,285.55
INND,2022-07-01,2022-09-30,12.75,49.0,284.31
HUT,2020-10-01,2020-12-31,3.59,13.75,283.54
LEDS,2021-04-01,2021-06-30,4.83,18.4,280.95
DLPN,2021-01-04,2021-03-31,3.39,12.71,274.93
QUBT,2020-10-01,2020-12-31,3.77,14.11,274.27
AHT-PD,2020-10-01,2020-12-31,3.07,11.42,272.71
HYMC,2022-01-03,2022-03-31,6.2,23.0,270.97
IVRN,2021-01-04,2021-03-31,15.98,59.28,270.96
ENG,2020-10-01,2020-12-31,6.96,25.6,267.82
CDIX,2022-10-03,2022-12-30,22.5,82.5,266.67
BMEA,2023-01-03,2023-03-31,8.48,31.01,265.68
EJH,2023-10-02,2023-12-29,55.0,200.0,263.64
VS,2020-10-01,2020-12-31,825.22,3000.0,263.54
JWEL,2021-10-01,2021-12-31,94.88,344.8,263.41
BCHG,2024-01-02,2024-03-28,4.59,16.67,263.18
NAMSW,2024-01-02,2024-03-28,3.05,11.04,261.97
FTEL,2024-04-01,2024-06-28,8.43,30.39,260.5
XYF,2021-04-01,2021-06-30,3.51,12.56,258.16
TNGX,2023-07-03,2023-09-29,3.15,11.26,257.46
JZXN,2024-01-02,2024-03-28,12.74,45.37,256.12
MVIS,2021-01-04,2021-03-31,5.21,18.55,256.05
ADTTF,2023-07-03,2023-09-29,30.88,109.75,255.44
DJT,2024-01-02,2024-03-28,17.45,61.96,255.07
SMCI,2024-01-02,2024-03-28,285.45,1010.03,253.84
ETHE,2020-10-01,2020-12-31,4.39,15.5,253.16
EJPRF,2024-01-02,2024-03-28,17.2,60.71,252.94
LIXT,2020-10-01,2020-12-31,9.0,31.7,252.22
VANI,2021-01-04,2021-03-31,7.05,24.75,251.06
GLAE,2022-07-01,2022-09-30,10.0,35.0,250.0
CDIX,2022-07-01,2022-09-30,15.0,52.5,250.0
BRBL,2020-10-01,2020-12-31,9.0,31.5,250.0
GYRE,2023-10-02,2023-12-29,7.35,25.69,249.52
ARVN,2020-10-01,2020-12-31,24.33,84.93,249.08
IMNM,2021-01-04,2021-03-31,9.75,33.88,247.49
SOS,2021-01-04,2021-03-31,72.0,249.0,245.83
AIMD,2021-01-08,2021-03-31,11.48,39.67,245.75
SIRC,2021-01-04,2021-03-31,40.5,139.12,243.52
ANVS,2021-01-04,2021-03-31,8.15,27.9,242.33
FRGE,2022-01-03,2022-03-31,9.91,33.88,241.88
SEEL,2021-01-04,2021-03-31,5606.4,19161.6,241.78
JANX,2024-01-02,2024-03-28,11.02,37.65,241.65
IMCC,2021-01-04,2021-03-31,126.0,427.5,239.29
KALA,2022-10-03,2022-12-30,11.25,38.15,239.11
AKRO,2022-07-01,2022-09-30,10.15,34.05,235.47
XXII,2020-10-01,2020-12-31,157.44,528.0,235.37
TAOP,2021-01-04,2021-03-31,28.1,94.1,234.88
BEAM,2020-10-01,2020-12-31,24.44,81.64,234.04
PTZH,2021-01-04,2021-03-31,3.0,10.0,233.34
VYBE,2021-01-04,2021-03-31,15.3,51.0,233.33
SNDA,2021-01-04,2021-03-31,11.59,38.5,232.18
HOV,2021-01-04,2021-03-31,31.85,105.74,231.99
IONM,2021-07-01,2021-09-30,817.2,2712.6,231.94
LGVN,2021-10-01,2021-12-31,36.5,120.7,230.68
PALT,2021-07-01,2021-09-30,3.2,10.57,230.31
CENN,2021-01-04,2021-03-31,326.55,1072.5,228.43
HITI,2021-01-08,2021-03-31,3.15,10.34,228.1
CYTO,2020-10-01,2020-12-31,320.0,1048.0,227.5
LTRPB,2022-07-01,2022-09-30,8.98,29.3,226.28
BTCY,2021-01-04,2021-03-31,4.41,14.37,225.87
AAMC,2023-01-03,2023-03-31,11.76,38.26,225.25
NDRA,2021-01-04,2021-03-31,800.0,2600.0,225.0
FNGR,2020-10-01,2020-12-31,3.1,10.06,224.68
FUTU,2021-01-04,2021-03-31,48.94,158.82,224.52
RDHL,2023-10-02,2023-12-29,11.27,36.5,223.73
RIOT,2021-01-04,2021-03-31,16.48,53.27,223.24
BSFC,2021-04-01,2021-06-30,2250.0,7250.0,222.22
FILG,2022-07-01,2022-09-30,9.0,29.0,222.22
PESI,2023-01-03,2023-03-31,3.66,11.78,221.86
SNDA,2024-01-02,2024-03-28,8.9,28.57,221.01
BIVI,2022-10-03,2022-12-30,24.3,77.7,219.75
WAFU,2021-01-04,2021-03-31,3.91,12.5,219.69
ETCG,2021-04-01,2021-06-30,12.69,40.48,218.99
SSMXF,2024-01-02,2024-03-28,17.47,55.56,218.06
RTC,2020-10-01,2020-12-31,18.6,59.05,217.47
IBIO,2023-01-03,2023-03-31,13.2,41.6,215.15
VISM,2021-01-04,2021-03-31,8.1,25.52,215.0
FILG,2021-03-15,2021-03-31,54.24,170.79,214.88
VERI,2020-10-01,2020-12-31,9.05,28.45,214.36
WPRT,2020-10-01,2020-12-31,17.0,53.3,213.53
LAZR,2020-10-01,2020-12-31,10.85,34.0,213.36
GCTS,2024-01-02,2024-03-28,10.57,33.06,212.77
AHT-PH,2020-10-01,2020-12-31,3.08,9.61,212.35
SUNWQ,2021-01-04,2021-03-31,4.7,14.68,212.34
WNW,2020-12-15,2020-12-31,421.75,1313.55,211.45
TTOO,2023-07-03,2023-09-29,7.1,22.1,211.27
EVTL,2022-07-01,2022-09-30,30.1,93.6,210.96
CLPT,2020-10-01,2020-12-31,5.11,15.89,210.96
AHT-PI,2020-10-01,2020-12-31,3.09,9.6,210.93
PMTS,2021-01-04,2021-03-31,4.51,13.99,210.2
ALXO,2023-10-02,2023-12-29,4.81,14.89,209.56
CAN,2021-01-04,2021-03-31,6.68,20.67,209.43
MDIA,2021-07-01,2021-09-30,3.77,11.66,209.28
WTO,2024-04-01,2024-06-28,5.5,17.0,209.09
LTCN,2023-10-02,2023-12-29,5.1,15.75,208.82
BRAG,2020-10-01,2020-12-31,3.7,11.3,205.41
AHT-PF,2020-10-01,2020-12-31,3.14,9.58,205.34
BTCM,2020-10-01,2020-12-31,29.5,90.0,205.08
EOSS,2021-04-01,2021-06-30,2000.0,6100.1,205.01
AHT-PG,2020-10-01,2020-12-31,3.19,9.7,204.6
ML,2023-10-02,2023-12-29,20.64,62.69,203.73
SGBX,2020-10-01,2020-12-31,18.85,57.2,203.48
AI,2023-01-03,2023-03-31,11.07,33.57,203.25
ANVS,2021-04-01,2021-06-30,28.23,85.58,203.15
SMID,2021-10-01,2021-12-31,15.54,47.0,202.45
PLSE,2023-10-02,2023-12-29,4.05,12.24,201.85
OFSTF,2021-04-01,2021-06-30,3.75,11.3,201.33
TIHE,2022-01-03,2022-03-31,303.03,912.12,201.0
TRT,2021-10-01,2021-12-31,4.47,13.43,200.45
VUZI,2021-01-04,2021-03-31,8.48,25.44,200.0
GWAV,2020-10-01,2020-12-31,90.0,270.0,200.0
CYTK,2023-10-02,2023-12-29,27.88,83.49,199.46
HOFV,2021-01-04,2021-03-31,36.96,110.44,198.81
ATXS,2022-07-01,2022-09-30,3.03,9.04,198.35
CATX,2024-01-02,2024-03-28,4.0,11.9,197.5
SKYE,2021-01-04,2021-03-31,10.0,29.75,197.5
NURO,2021-07-01,2021-09-30,27.36,81.12,196.49
RIOT,2023-01-03,2023-03-31,3.37,9.99,196.44
EYPT,2023-10-02,2023-12-29,7.8,23.11,196.28
LDWY,2021-10-01,2021-12-31,7.83,23.08,194.76
GBTC,2020-10-01,2020-12-31,10.87,32.0,194.39
SLNH,2020-10-01,2020-12-31,40.0,117.75,194.38
BLTE,2022-04-29,2022-06-30,10.59,31.14,194.05
NHNKF,2024-01-02,2024-03-28,7.99,23.49,193.99
CYAP,2021-10-01,2021-12-31,4.03,11.84,193.75
SGLY,2021-01-04,2021-03-31,22.1,64.8,193.21
UPST,2021-01-04,2021-03-31,43.99,128.86,192.93
RYAM,2022-10-03,2022-12-30,3.28,9.6,192.68
OASPW,2021-04-07,2021-06-30,7.53,22.0,192.16
PRAX,2024-01-02,2024-03-28,20.9,61.02,191.96
RGS,2024-04-01,2024-06-28,7.88,23.0,191.88
VLD,2022-07-01,2022-09-30,47.25,137.9,191.85
JANL,2021-01-04,2021-03-31,6.0,17.5,191.67
PEGY,2022-10-03,2022-12-30,12.0,34.95,191.25
CRVO,2024-01-02,2024-03-28,8.0,23.3,191.25
SBOW,2021-04-01,2021-06-30,8.0,23.22,190.25
WGS,2024-04-01,2024-06-28,9.03,26.14,189.48
ARQT,2024-01-02,2024-03-28,3.43,9.91,188.92
HKD,2022-07-15,2022-09-30,16.21,46.8,188.71
ATGL,2023-10-31,2023-12-29,4.4,12.7,188.64
SRRK,2023-10-02,2023-12-29,6.52,18.8,188.34
GOAI,2021-01-04,2021-03-31,5.77,16.65,188.31
NFGC,2021-04-01,2021-06-30,3.38,9.7,186.95
MEDS,2024-01-02,2024-03-28,3.33,9.55,186.69
IPI,2020-10-01,2020-12-31,8.43,24.15,186.48
IMRX,2022-07-01,2022-09-30,5.0,14.32,186.4
POLA,2021-01-04,2021-03-31,4.85,13.89,186.39
CLSK,2023-10-02,2023-12-29,3.86,11.03,185.75
NYXH,2024-01-02,2024-03-28,4.72,13.49,185.5
VTLE,2021-04-01,2021-06-30,32.55,92.79,185.07
PHUN,2021-10-01,2021-12-31,46.15,131.5,184.94
CYBN,2020-10-01,2020-12-31,19.89,56.62,184.63
FDMT,2022-10-03,2022-12-30,7.81,22.21,184.38
BW,2021-01-04,2021-03-31,3.35,9.47,182.69
AVXL,2021-01-04,2021-03-31,5.29,14.95,182.61
SISI,2022-10-03,2022-12-30,8.44,23.8,181.99
JILL,2021-01-04,2021-03-31,3.44,9.7,181.79
NOTV,2024-01-02,2024-03-28,3.89,10.94,181.23
ARVLF,2020-10-01,2020-12-31,500.0,1406.0,181.2
DMTKQ,2020-10-01,2020-12-31,11.54,32.44,181.11
ANTE,2020-10-01,2020-12-31,3.12,8.76,180.77
EDRY,2021-04-01,2021-06-30,8.67,24.34,180.74
CARM,2023-04-03,2023-06-30,3.13,8.77,180.19
INOD,2023-01-03,2023-03-31,3.06,8.54,179.08
CVNA,2023-04-03,2023-06-30,9.29,25.92,179.01
RNA,2024-01-02,2024-03-28,9.16,25.52,178.6
DXYZ,2024-03-26,2024-03-28,9.0,25.0,177.78
ONCT,2020-10-01,2020-12-31,35.4,98.0,176.84
VERA,2024-01-02,2024-03-28,15.61,43.12,176.23
EYPT,2023-04-03,2023-06-30,3.15,8.7,176.19
VTYX,2022-07-01,2022-09-30,12.64,34.91,176.19
SLE,2021-01-04,2021-03-31,51.0,140.8,176.08
MARA,2023-10-02,2023-12-29,8.53,23.49,175.38
OILY,2021-01-04,2021-03-31,4.01,11.04,175.31
NNOX,2023-04-03,2023-06-30,5.64,15.49,174.65
FULC,2021-07-01,2021-09-30,10.28,28.21,174.42
DOGZ,2021-10-01,2021-12-31,61.4,168.2,173.94
YVRLF,2021-01-04,2021-03-31,6.12,16.76,173.86
VTGN,2020-10-01,2020-12-31,21.3,58.2,173.24
EVOH,2021-10-01,2021-12-31,10.0,27.32,173.2
SRRK,2020-10-01,2020-12-31,17.8,48.53,172.64
PLRX,2022-07-01,2022-09-30,7.67,20.89,172.36
NVAX,2024-04-01,2024-06-28,4.65,12.66,172.26
BMEA,2022-04-01,2022-06-30,4.41,11.98,171.66
DAC,2020-10-01,2020-12-31,6.87,18.65,171.61
PROF,2022-10-03,2022-12-30,4.01,10.89,171.57
SCGX,2022-01-03,2022-03-31,7.0,19.0,171.43
BSGM,2023-01-03,2023-03-31,4.2,11.4,171.43
STTK,2020-10-09,2020-12-31,19.35,52.41,170.85
NTLA,2020-10-01,2020-12-31,20.09,54.4,170.78
LKNCY,2020-10-01,2020-12-31,3.14,8.5,170.7
IMCI,2021-01-04,2021-03-31,6.39,17.25,169.95
ADD,2021-01-04,2021-03-31,26.4,71.2,169.7
IMVT,2022-10-03,2022-12-30,6.59,17.75,169.35
AIRT,2020-10-01,2020-12-31,9.25,24.9,169.19
JAGX,2020-10-01,2020-12-31,4090.5,11002.5,168.98
WTO,2023-04-03,2023-06-30,21.38,57.25,167.84
PGEN,2020-10-01,2020-12-31,3.82,10.2,167.02
REKR,2021-01-04,2021-03-31,7.49,19.99,166.89
ATXI,2022-07-01,2022-09-30,283.5,756.0,166.67
SGLY,2022-01-03,2022-03-31,52.6,140.2,166.54
PDSB,2021-04-01,2021-06-30,4.71,12.55,166.45
DOGZ,2024-04-01,2024-06-28,6.49,17.28,166.26
RHE,2021-04-01,2021-06-30,5.17,13.73,165.57
UAN,2021-01-04,2021-03-31,8.44,22.35,164.94
BTTR,2020-10-01,2020-12-31,115.2,304.8,164.58
LFCR,2023-04-03,2023-06-30,3.67,9.67,163.49
CORZ,2024-04-01,2024-06-28,3.53,9.3,163.46
UAVS,2020-10-01,2020-12-31,45.6,120.0,163.16
EH,2020-10-01,2020-12-31,8.04,21.11,162.56
CDLX,2023-07-03,2023-09-29,6.29,16.5,162.32
DDD,2021-01-04,2021-03-31,10.47,27.44,162.08
DNTH,2024-01-02,2024-03-28,11.45,30.0,162.01
VVOS,2023-10-02,2023-12-29,4.75,12.44,161.89
DUOT,2021-01-04,2021-03-31,4.17,10.92,161.87
NOTV,2020-10-01,2020-12-31,4.7,12.3,161.7
OCUL,2020-10-01,2020-12-31,7.91,20.7,161.69
GRWG,2020-10-01,2020-12-31,15.37,40.22,161.68
ATNF,2021-01-04,2021-03-31,953.8,2492.8,161.35
FUBO,2020-10-01,2020-12-31,10.72,28.0,161.19
CPS,2020-10-01,2020-12-31,13.28,34.67,161.07
LUMO,2020-10-01,2020-12-31,13.68,35.71,161.04
GV,2023-01-03,2023-03-31,6.15,16.05,160.98
MSTR,2020-10-01,2020-12-31,14.9,38.85,160.84
CHPT,2020-10-01,2020-12-31,15.38,40.08,160.6
MYTHF,2023-10-02,2023-12-29,15.71,40.94,160.52
MNMD,2024-01-02,2024-03-28,3.62,9.4,159.67
LIVE,2021-04-01,2021-06-30,23.75,61.6,159.37
GWAV,2021-04-01,2021-06-30,990.0,2565.0,159.09
UPC,2022-10-03,2022-12-30,3.36,8.7,158.93
OLMA,2023-04-03,2023-06-30,3.49,9.03,158.74
LCCN,2022-04-01,2022-06-30,27.75,71.75,158.56
VRNA,2022-10-03,2022-12-30,10.11,26.13,158.46
SM,2021-01-04,2021-03-31,6.14,15.81,157.39
FLUX,2020-10-01,2020-12-31,6.7,17.24,157.31
NERV,2022-07-01,2022-09-30,3.59,9.23,157.1
MIESY,2024-01-02,2024-03-28,4.98,12.8,157.08
MARA,2023-01-03,2023-03-31,3.4,8.72,156.47
MOGO,2020-10-01,2020-12-31,4.41,11.31,156.46
NGNE,2024-01-02,2024-03-28,19.87,50.9,156.17
CBUS,2023-01-03,2023-03-31,6.65,17.0,155.64
UPST,2021-07-01,2021-09-30,123.92,316.44,155.36
PETZ,2021-10-01,2021-12-31,30.2,77.0,154.97
QXO,2021-01-04,2021-03-31,18.13,46.18,154.67
AVGR,2021-01-04,2021-03-31,177.9,453.0,154.64
BLBX,2021-07-01,2021-09-30,11.8,30.0,154.24
AINC,2021-04-01,2021-06-30,8.94,22.72,154.14
STCN,2021-01-04,2021-03-31,7.28,18.48,153.85
BBLGW,2024-04-01,2024-06-28,17.2,43.5,152.91
ALXO,2020-10-01,2020-12-31,34.11,86.2,152.71
TLRY,2021-01-04,2021-03-31,9.0,22.73,152.56
KRRO,2023-10-02,2023-12-29,19.05,47.93,151.6
FNGU,2023-01-03,2023-03-31,41.13,103.46,151.54
LEU,2020-10-01,2020-12-31,9.2,23.13,151.41
INSM,2024-04-01,2024-06-28,26.72,67.0,150.75
HEPA,2023-01-03,2023-03-31,6.2,15.54,150.65
FVTI,2021-01-04,2021-03-31,41.0,102.6,150.24
MVNC,2021-01-04,2021-03-31,9.6,24.0,150.0
RGLS,2020-10-01,2020-12-31,5.4,13.5,150.0
GROM,2021-01-04,2021-03-31,1152.0,2880.0,150.0
TIHE,2021-10-01,2021-12-31,121.21,303.03,150.0
AVTX,2024-01-02,2024-03-28,8.71,21.75,149.71
NBR,2020-10-01,2020-12-31,23.34,58.23,149.49
VATE,2022-10-03,2022-12-30,7.5,18.7,149.33
CNVS,2021-01-04,2021-03-31,13.4,33.4,149.25
LPTX,2021-07-01,2021-09-30,16.1,40.1,149.07
PLTR,2020-10-01,2020-12-31,9.46,23.55,148.94
EDIT,2020-10-01,2020-12-31,28.17,70.11,148.88
MSTR,2024-01-02,2024-03-28,68.51,170.46,148.79
GSPT,2021-04-01,2021-06-30,68.78,171.0,148.64
HUT,2021-01-04,2021-03-31,15.24,37.87,148.41
ATLX,2023-01-03,2023-03-31,6.97,17.31,148.35
EOSEW,2020-11-19,2020-12-31,3.35,8.31,148.06
JWN,2020-10-01,2020-12-31,11.29,27.96,147.7
STRT,2020-10-01,2020-12-31,19.95,49.36,147.42
MLTX,2023-04-03,2023-06-30,20.62,51.0,147.33
JOBY,2023-04-03,2023-06-30,4.15,10.26,147.23
GRPN,2023-07-03,2023-09-29,6.2,15.32,147.1
PACB,2020-10-01,2020-12-31,10.5,25.94,147.05
RELI,2021-10-01,2021-12-31,665.55,1642.2,146.74
RRGB,2023-01-03,2023-03-31,5.81,14.32,146.47
ODYS,2024-01-02,2024-03-28,3.05,7.5,145.9
WNDW,2020-10-01,2020-12-31,3.1,7.62,145.81
LFMD,2021-01-04,2021-03-31,6.44,15.82,145.65
HA,2023-10-02,2023-12-29,5.79,14.2,145.25
CRIS,2023-10-02,2023-12-29,5.2,12.75,145.19
KLXE,2021-01-04,2021-03-31,6.55,16.03,144.73
TCON,2020-10-01,2020-12-31,95.8,234.0,144.26
HOVNP,2021-01-04,2021-03-31,6.21,15.16,143.92
NGL-PB,2023-01-03,2023-03-31,6.8,16.56,143.59
BYRN,2024-01-02,2024-03-28,5.73,13.93,143.11
APPN,2020-10-01,2020-12-31,66.72,162.09,142.94
TCON,2024-01-02,2024-03-28,3.54,8.6,142.82
MTUS,2021-01-04,2021-03-31,4.84,11.75,142.77
EPIX,2021-01-04,2021-03-31,11.97,29.05,142.69
SYRS,2023-10-02,2023-12-29,3.21,7.79,142.68
RENT,2024-04-01,2024-06-28,7.24,17.57,142.68
PLL,2021-01-04,2021-03-31,28.65,69.49,142.55
PLUG,2020-10-01,2020-12-31,14.0,33.91,142.21
IMRX,2023-01-03,2023-03-31,4.01,9.71,142.14
QDMI,2022-01-03,2022-03-31,9.5,23.0,142.11
DBI,2021-01-04,2021-03-31,6.87,16.64,142.0
LNZNF,2021-01-04,2021-03-31,50.49,122.01,141.65
GTHX,2022-07-01,2022-09-30,5.17,12.49,141.59
XBP,2023-07-03,2023-09-29,10.77,25.98,141.23
NRGU,2022-01-03,2022-03-31,178.15,428.54,140.55
TCNNF,2024-01-02,2024-03-28,5.16,12.4,140.5
CJPRF,2024-01-02,2024-03-28,11.02,26.49,140.35
AFRM,2023-10-02,2023-12-29,20.45,49.14,140.29
SIM,2021-04-01,2021-06-30,12.0,28.81,140.08
NOTR,2022-07-01,2022-09-30,3.75,9.0,140.0
SLNH,2021-01-04,2021-03-31,125.0,300.0,140.0
USM,2023-07-03,2023-09-29,17.91,42.97,139.92
SDA,2023-04-03,2023-06-30,10.75,25.77,139.81
YGMZ,2020-10-21,2020-12-31,34.0,81.28,139.06
NAOV,2021-07-01,2021-09-30,17.24,41.2,138.98
JG,2020-10-01,2020-12-31,29.8,71.2,138.93
PDD,2020-10-01,2020-12-31,74.43,177.67,138.71
TBIO,2023-01-03,2023-03-31,23.4,55.8,138.46
FILG,2023-01-03,2023-03-31,6.19,14.75,138.29
RVYL,2021-01-04,2021-03-31,58.8,140.0,138.1
SANA,2024-01-02,2024-03-28,4.2,10.0,138.1
LMND,2020-10-01,2020-12-31,51.46,122.5,138.05
ROIV,2022-10-03,2022-12-30,3.36,7.99,137.8
SYTA,2020-10-01,2020-12-31,57078.0,135702.0,137.75
VRNA,2022-07-01,2022-09-30,4.3,10.22,137.67
OGI,2021-01-04,2021-03-31,5.84,13.88,137.67
TUSK,2022-10-03,2022-12-30,3.64,8.65,137.64
EQOSQ,2020-10-02,2020-12-31,6.8,16.14,137.35
BBW,2021-04-01,2021-06-30,6.36,15.07,137.12
CTHR,2021-01-04,2021-03-31,12.5,29.6,136.8
KOD,2020-10-01,2020-12-31,62.07,146.91,136.68
YMAB,2024-01-02,2024-03-28,6.87,16.26,136.68
AEMD,2021-04-01,2021-06-30,20.8,49.2,136.54
OILU,2022-01-03,2022-03-31,22.47,53.09,136.27
