Ticker,Start Date,End Date,Start Price,End Price,Percentage Increase
AGRO,2020-10-01,2020-12-31,4.41,6.26,41.96
AGEN,2024-04-01,2024-06-28,11.8,16.75,41.95
VECO,2020-10-01,2020-12-31,12.23,17.36,41.95
QNCX,2021-04-01,2021-06-30,37.34,53.0,41.94
XPEV,2021-10-01,2021-12-31,35.46,50.33,41.93
WBHC,2022-01-03,2022-03-31,23.48,33.32,41.93
B,2020-10-01,2020-12-31,33.61,47.7,41.93
KSS,2023-10-02,2023-12-29,18.88,26.8,41.93
ELP,2022-01-03,2022-03-31,4.67,6.62,41.92
SVYSF,2024-04-01,2024-06-28,24.65,34.99,41.92
AAPI,2024-01-02,2024-03-28,3.03,4.3,41.91
BNED,2023-10-02,2023-12-29,105.0,149.0,41.9
SHAK,2024-01-02,2024-03-28,73.31,104.03,41.9
WBD,2021-01-04,2021-03-31,30.63,43.46,41.89
EDIT,2023-10-02,2023-12-29,7.14,10.13,41.88
HTBI,2020-10-01,2020-12-31,12.88,18.27,41.86
PANW,2020-10-01,2020-12-31,83.51,118.46,41.86
PRG,2023-01-03,2023-03-31,16.61,23.56,41.86
FENC,2022-07-01,2022-09-30,5.71,8.1,41.86
MNDY,2021-07-01,2021-09-30,229.95,326.2,41.86
CBNK,2021-01-04,2021-03-31,13.07,18.53,41.84
IPG,2020-10-01,2020-12-31,14.46,20.51,41.84
PXLW,2021-07-01,2021-09-30,3.37,4.78,41.84
GM,2021-01-04,2021-03-31,39.58,56.14,41.84
CHEF,2023-10-02,2023-12-29,20.75,29.43,41.83
YPF,2023-10-02,2023-12-29,12.12,17.19,41.83
ADTTF,2023-01-03,2023-03-31,16.22,23.0,41.83
AVDL,2021-07-01,2021-09-30,6.91,9.8,41.82
GNW,2022-10-03,2022-12-30,3.73,5.29,41.82
AMRX,2023-10-02,2023-12-29,4.28,6.07,41.82
TALO,2021-01-04,2021-03-31,8.49,12.04,41.81
NVDA,2021-10-01,2021-12-31,20.71,29.36,41.81
IHICY,2020-10-01,2020-12-31,3.48,4.93,41.81
TNL,2021-01-04,2021-03-31,37.71,53.47,41.8
EVOK,2022-10-03,2022-12-30,22.68,32.16,41.8
FCF,2020-10-01,2020-12-31,6.78,9.61,41.79
PRCH,2024-01-02,2024-03-28,3.04,4.31,41.78
ENPH,2022-07-01,2022-09-30,195.72,277.47,41.77
STXS,2021-04-01,2021-06-30,6.8,9.64,41.76
IDEX,2021-01-04,2021-03-31,257.5,365.0,41.75
DVA,2020-10-01,2020-12-31,82.82,117.4,41.75
SOUN,2023-04-03,2023-06-30,3.21,4.55,41.74
GPI,2020-10-01,2020-12-31,89.99,127.53,41.73
LMB,2023-04-03,2023-06-30,17.45,24.73,41.72
EAST,2021-04-01,2021-06-30,39.8,56.4,41.71
SXC,2022-10-03,2022-12-30,5.65,8.01,41.7
MRSN,2020-10-01,2020-12-31,18.78,26.61,41.69
FCBC,2021-01-04,2021-03-31,18.71,26.5,41.67
WTER,2021-04-01,2021-06-30,16.2,22.95,41.67
GDEN,2020-10-01,2020-12-31,13.05,18.48,41.67
GABC,2021-01-04,2021-03-31,29.64,41.98,41.66
BCEXF,2021-01-04,2021-03-31,6.81,9.64,41.66
TKHVY,2022-07-01,2022-09-30,26.09,36.96,41.66
CBUS,2021-01-04,2021-03-31,212.5,301.0,41.65
TS,2021-01-04,2021-03-31,14.32,20.28,41.64
CNTA,2023-10-02,2023-12-29,5.62,7.96,41.64
SMHI,2023-04-03,2023-06-30,8.07,11.43,41.64
CNM,2023-10-02,2023-12-29,28.53,40.41,41.64
DYNT,2021-01-04,2021-03-31,4.06,5.75,41.63
PEBK,2023-10-02,2023-12-29,21.29,30.15,41.63
VERX,2023-01-03,2023-03-31,14.61,20.69,41.62
SKY,2023-01-03,2023-03-31,53.13,75.23,41.6
MRBK,2023-10-02,2023-12-29,9.45,13.38,41.59
VNTRF,2021-01-04,2021-03-31,449700.88,636732.44,41.59
TDW,2021-01-04,2021-03-31,8.85,12.53,41.58
GHM,2024-01-02,2024-03-28,19.27,27.28,41.57
EXK,2020-10-01,2020-12-31,3.56,5.04,41.57
CPRX,2022-10-03,2022-12-30,13.14,18.6,41.55
GLASF,2023-07-03,2023-09-29,3.25,4.6,41.54
PAA,2020-10-01,2020-12-31,4.38,6.21,41.54
BSAC,2020-10-01,2020-12-31,10.94,15.48,41.54
MRAAF,2020-10-01,2020-12-31,20.44,28.93,41.54
TSQ,2023-04-03,2023-06-30,7.83,11.08,41.52
SMPL,2020-10-01,2020-12-31,22.16,31.36,41.52
MAC,2022-10-03,2022-12-30,7.25,10.25,41.51
GOGO,2022-01-03,2022-03-31,13.47,19.06,41.5
FNGU,2020-10-01,2020-12-31,202.64,286.69,41.48
BCBP,2020-10-01,2020-12-31,6.59,9.32,41.48
AMTB,2023-10-02,2023-12-29,17.15,24.27,41.47
KWR,2020-10-01,2020-12-31,173.11,244.89,41.47
CLPT,2023-10-02,2023-12-29,4.8,6.79,41.46
ETAOF,2023-10-02,2023-12-29,6.36,9.0,41.46
BECN,2023-04-03,2023-06-30,58.66,82.98,41.46
BNO,2022-01-03,2022-03-31,21.16,29.93,41.45
SAIA,2020-10-01,2020-12-31,127.83,180.8,41.44
ICCH,2024-04-01,2024-06-28,16.0,22.63,41.44
TRNS,2021-10-01,2021-12-31,65.36,92.43,41.42
HLX,2022-01-03,2022-03-31,3.38,4.78,41.42
